variable,coefficient,pvalue
const,-3.4838377427668714,0.0
avg_instalment_remaining_woe,1.2674307672270142,0.0
num_approved_woe,1.2494046679050212,6.082357409590015e-79
num_prev_apps_woe,-0.051650578006155,0.515229377123052
age_years_woe,0.8836543997160647,1.191469447841508e-32
avg_credit_grant_ratio_woe,0.3852053425308609,1.762177834126382e-15
num_refused_woe,0.7586038642594877,7.370256796404166e-33
avg_credit_age_years_woe,0.34662676629389616,0.00022032140296139317
