variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values,variable_name
owns_car,"[-inf,1.0)",134940,0.6609845701689934,130849,4091,0.030317178005039278,0.0077346137620420185,3.968695326321351e-05,0.0001179050106546832,1.0,False,owns_car
owns_car,"[1.0,inf)",69210,0.33901542983100663,67158,2052,0.02964889466840052,-0.015243963403485356,7.821805739146968e-05,0.0001179050106546832,inf,False,owns_car
total_debt,"[-inf,150000.0)",84002,0.4114719568944404,81441,2561,0.03048736934834885,0.01350813693534955,7.555966424818998e-05,0.0039119470871956715,150000.0,False,total_debt
total_debt,"[150000.0,200000.0)",36720,0.1798677443056576,35654,1066,0.029030501089324617,-0.036958855362840014,0.00024147042427374572,0.0039119470871956715,200000.0,False,total_debt
total_debt,"[200000.0,600000.0)",36156,0.17710506980161647,34967,1189,0.03288527491979201,0.09169701955465234,0.0015550779656738197,0.0039119470871956715,600000.0,False,total_debt
total_debt,"[600000.0,1800000.0)",32295,0.15819250551065392,31351,944,0.02923053104195696,-0.029886115910295805,0.00013932731956971272,0.0039119470871956715,1800000.0,False,total_debt
total_debt,"[1800000.0,inf)",14977,0.07336272348763165,14594,383,0.02557254456833812,-0.16734161372174255,0.0019005117134302033,0.0039119470871956715,inf,False,total_debt
num_refused,"[-inf,1.0)",134313,0.65791329904482,130931,3382,0.025179990023303775,-0.18321405497991297,0.020281605946247627,0.05289218445100634,1.0,False,num_refused
num_refused,"[1.0,2.0)",32378,0.15859906931178056,31174,1204,0.03718574340601643,0.21905409424294703,0.0084459731040272,0.05289218445100634,2.0,False,num_refused
num_refused,"[2.0,inf)",37459,0.18348763164339946,35902,1557,0.04156544488640914,0.3349570500261597,0.024164605400731513,0.05289218445100634,inf,False,num_refused
max_overdue,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,max_overdue
total_debt_CC,"[-inf,15000.0)",143311,0.7019887337741857,139165,4146,0.028930089106907354,-0.04052710406641811,0.0011312797026419412,0.0049565289824464375,15000.0,False,total_debt_CC
total_debt_CC,"[15000.0,150000.0)",25654,0.12566250306147442,24758,896,0.03492632727839713,0.15402562630635178,0.003206981352926215,0.0049565289824464375,150000.0,False,total_debt_CC
total_debt_CC,"[150000.0,260000.0)",14242,0.06976242958608866,13819,423,0.029700884707204046,-0.013438395334029848,1.2519184984843093e-05,0.0049565289824464375,260000.0,False,total_debt_CC
total_debt_CC,"[260000.0,inf)",20943,0.10258633357825128,20265,678,0.03237358544621115,0.0754859103011637,0.0006057487418934378,0.0049565289824464375,inf,False,total_debt_CC
max_dpd_l6m,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,max_dpd_l6m
utilization_PL,"[-inf,0.04)",85067,0.4166887092823904,82463,2604,0.030611165316750327,0.017688177876758096,0.00013145931987879628,0.003093681800927969,0.04,False,utilization_PL
utilization_PL,"[0.04,0.06)",31876,0.15614009306882196,30959,917,0.028767724934119714,-0.046322393760771706,0.0003278448881731254,0.003093681800927969,0.06,False,utilization_PL
utilization_PL,"[0.06,0.44)",50243,0.24610825373499878,48651,1592,0.031686006010787575,0.053307885440021074,0.0007171685248043904,0.003093681800927969,0.44,False,utilization_PL
utilization_PL,"[0.44,0.56)",12684,0.06213078618662748,12308,376,0.029643645537685274,-0.015426431628860975,1.4678862430803117e-05,0.003093681800927969,0.56,False,utilization_PL
utilization_PL,"[0.56,0.7000000000000001)",10601,0.05192750428606417,10335,266,0.025091972455428734,-0.18680600191099275,0.0016614163108937478,0.003093681800927969,0.7000000000000001,False,utilization_PL
