risk_band,accounts,bad_rate
RB1,8750,0.0912
RB2,8795,0.04513928368391131
RB3,9733,0.036576595088872906
RB4,7752,0.03018575851393189
RB5,9466,0.02736108176632157
RB6,8640,0.021296296296296296
RB7,8300,0.015060240963855422
RB8,8768,0.01448448905109489
RB9,9495,0.007582938388625593
RB10,7794,0.010392609699769052
